backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,raw_error_rate,idle_error_rate,corrected_error_rate
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.004,1.000,0.000,0.031
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.004,0.137,0.000,0.134
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.006,0.205,0.000,0.189
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.006,1.000,0.000,0.425
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.008,0.240,0.000,0.252
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.008,1.000,0.000,0.956
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.443,0.000,0.007
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.006,0.485,0.000,0.035
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.008,0.479,0.000,0.143
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.004,0.493,0.000,0.133
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.008,0.500,0.000,0.516
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.006,0.517,0.000,0.372
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.004,0.488,0.000,0.491
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.008,0.507,0.000,0.511
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.006,0.507,0.000,0.509
custom_full,300,color,bposd,11,11,1000,modsi1000,0.004,0.497,0.000,0.069
custom_full,300,color,bposd,11,11,1000,modsi1000,0.006,0.501,0.000,0.283
custom_full,300,color,bposd,11,11,1000,modsi1000,0.008,0.488,0.000,0.431
